id_transacao,data_venda,id_loja,id_produto,quantidade,preco_unitario,desconto_percentual,vendedor,forma_pagamento,nome_loja,cidade,estado,metros_quadrados,data_inauguracao,gerente,meta_faturamento_q1,meta_transacoes_q1,valor_total_venda
7021,2025-01-13,101,1012,37,72.16,0.109,Carlos Souza,PIX,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,2378.9
7069,2025-01-01,105,1011,59,107.24,0.11800000000000001,João Pereira,Dinheiro,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,5580.56
7076,2025-01-22,104,1003,46,12.06,0.23600000000000002,Carlos Souza,Cartão Crédito,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,423.84
7128,2025-01-01,105,1013,24,74.47,0.075,Fernanda Costa,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,1653.23
7035,2025-01-25,102,1008,18,73.52,0.177,Carlos Souza,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,1089.13
7093,2025-01-05,104,1006,22,104.67,0.109,Maria Lima,Dinheiro,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,2051.74
7059,2025-01-01,101,1007,57,101.39,0.245,Fernanda Costa,Cartão Crédito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,4363.32
7103,2025-01-04,105,1002,6,80.94,0.22699999999999998,Fernanda Costa,Cartão Débito,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,375.4
7092,2025-01-19,101,1013,41,88.31,0.16699999999999998,Ana Silva,Cartão Débito,Frutally Fortaleza Centro,Fortaleza,CE,320.0,2019-03-12,Ricardo Mendes,250000.0,800,3016.05
7078,2025-01-22,104,1006,8,44.43,0.147,Maria Lima,PIX,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,303.19
7044,2025-01-22,104,1009,25,66.87,0.075,João Pereira,Boleto,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,1546.37
7008,2025-01-14,102,1012,34,77.82,0.001,João Pereira,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,2643.23
7120,2025-01-26,102,1008,10,101.37,0.17,Fernanda Costa,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,841.37
7102,2025-01-19,105,1006,14,105.27,0.08199999999999999,Ana Silva,PIX,Frutally São Luís,São Luís,MA,410.0,2023-08-15,Thiago Borges,200000.0,700,1352.93
7068,2025-01-04,102,1012,58,73.19,0.10300000000000001,Ana Silva,PIX,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,3807.78
7119,2025-01-04,102,1008,42,77.83,0.055,Fernanda Costa,Boleto,Frutally Recife Boa Viagem,Recife,PE,280.0,2020-07-15,Patrícia Alves,180000.0,600,3089.07
7058,2025-01-03,104,1008,7,10.75,0.025,Maria Lima,Dinheiro,Frutally Teresina Centro,Teresina,PI,195.0,2022-01-10,Luciana Rocha,120000.0,450,73.37
